source_id,claim_supported,publisher,url,date_or_edition,access_method,evidence_grade,notes
S15,"94% of B2B buyers fact-check AI research outputs; buyers distrusting online resources rose 39%->47% year on year; neutral share fell 50%->42%","MarketScale",https://www.marketscale.com/industries/business-services/94-of-b2b-buyers-fact-check-ai-research-outputs-and-vendors-are-underestimating-how-far-trust-has-fallen,2026,web_search_snippet,B,"Trade publication reporting a vendor survey; underlying sample/method not verified. Global not SA."
S16,"46% of people trust a brand less if they learn AI was used where they assumed human work","That Random Agency (secondary reporting)",https://www.thatrandomagency.com/blog/what-ai-generated-content-is-doing-to-brand-trust-in-2026,2026,web_search_snippet,C,"Agency blog citing an unnamed study. Treat as indicative only."
S17,"Three.js active domains grew to 3585 by March 2025","Utsubo / technologychecker.io",https://www.utsubo.com/blog/best-threejs-websites-2026,2026,web_search_snippet,C,"Detection-based domain count; undercounts. Even at 10x undercount the global installed base is small."
S18,"Manufacturing marketing budgets: 5-7% of revenue typical for industrial B2B; Gartner CMO Spend puts manufacturing at 5.7% in 2026","Multiple secondary summaries of Gartner CMO Spend Survey",https://www.npws.net/blog/manufacturing-budget-benchmarks,2026,web_search_snippet,C,"US/global large-company data. NOT transferable to SA SMEs without heavy discount."
S19,"POPIA s.69 requires opt-in consent for unsolicited electronic direct marketing to natural persons; buying/renting or scraping lists is not permitted; existing-customer exception is narrow","POPIA / POPIAReady / MJ Kotze Inc",https://popia.co.za/section-69-direct-marketing-by-means-of-unsolicited-electronic-communications/,2026,web_search_snippet,A,"Statute text is primary. Interpretation of B2B role-based addresses is from practitioner commentary - get legal advice."
S20,"GoodFirms lists 273 digital marketing agencies in South Africa (Aug 2026)","GoodFirms",https://www.goodfirms.co/directory/country/top-digital-marketing-companies/south-africa,Aug 2026,web_search_snippet,B,"Directory listing count = lower bound on real agency population."
S21,"SA manufacturing declined 0.8% in Q1 2026 contributing -0.1pp to GDP; second consecutive year of negative growth in 2025; production -2.9% April 2026","Statistics South Africa",https://www.statssa.gov.za/publications/P0441/P04411stQuarter2026.pdf,2026,web_search_snippet,A,"Official statistics. Could not open PDF (egress blocked); figures from search summary."
S22,"DRC copper output forecast +6% to 3404.1kt in 2026 on Kamoa-Kakula recovery and Phase 3","GlobalData via Yahoo Finance",https://finance.yahoo.com/news/operational-recovery-forecast-drive-strong-155213256.html,2026,web_search_snippet,B,
S23,"DRC: presidential 30-day audit of mining revenue chain; FX non-repatriation identified as weakness; transactions increasingly compliance-driven; poor business environment and endemic corruption curb non-mining investment","Ecofin Agency / Coface country risk",https://www.coface.com/news-economy-and-insights/business-risk-dashboard/country-risk-files/congo-democratic-republic-of,2026,web_search_snippet,A,"Coface is a credit insurer - country risk assessment is its core competence."
S24,"Engineering News & Mining Weekly combined weekly digital reach >310000 readers; publishes project, contract and company announcements","Creamer Media",https://www.creamermedia.co.za/page/engineering-news-print,2026,web_search_snippet,B,"Publisher self-reported reach. Relevant as a trigger-event source, not as an audience claim."
S25,"SA REIPPPP context: IRP targets 26GW new renewables by 2030 requiring ~6GW/yr wind and solar deployment","Multiple secondary (Blackridge, RenewablesNow, Wikipedia REIPPPP)",https://en.wikipedia.org/wiki/Renewable_Energy_Independent_Power_Producer_Procurement_Programme,2025/2026,web_search_snippet,C,"Verify against the gazetted IRP 2025 before quoting."
S26,"Small Business Institute baseline: ~250000 formal SMMEs in SA, against commonly cited 5.6m figure that includes informal","Small Business Institute",https://www.smallbusinessinstitute.co.za/wp-content/uploads/2019/01/SBIbaselineStudyAlertfinal.pdf,2019,web_search_snippet,B,"Dated (2019) but the definitional point stands and matters: the payable universe is far smaller than headline SMME counts."
S27,"MEMSA industry cluster for SA mining equipment manufacturers, established 2016, based in the Mining Precinct Gauteng","MEMSA",https://memsa.org.za/,2026,web_search_snippet,A,"Useful as a member-list prospecting source."
