company_id,table_group,company_name,country,city_region,sector,subsector,size_band_estimated,size_basis,website,linkedin,evidenced_claim,source_id,identity_evidence_grade,audit_status
SA-ENG-019,sa_medium_engineering,Nyeleti Consulting,ZA,South Africa,Consulting engineering,Structural water transportation,MEDIUM,ESTIMATED_UNVERIFIED,https://www.nyeleti.co.za/,,"Black-owned SA consulting engineering company specialising in civil infrastructure incl. structural water and transportation",S-SEARCH-CONSULTING,C,NOT_AUDITED
SA-ENG-020,sa_engineering_sme,Tshedza Consulting Engineers,ZA,South Africa,Consulting engineering,Civil engineering,SME,ESTIMATED_UNVERIFIED,https://tshedzaeng.co.za/,,"100% black owned civil engineering consulting firm established 2001",S-SEARCH-CONSULTING,C,NOT_AUDITED
SA-ENG-021,sa_medium_engineering,Ndodana Consulting Engineers,ZA,South Africa,Consulting engineering,Civil and structural,MEDIUM,ESTIMATED_UNVERIFIED,http://www.ndodana.co.za/,,"100% black owned BEE Level 1 practice in civil and structural engineering; hundreds of projects since 1994",S-SEARCH-CONSULTING,C,NOT_AUDITED
SA-ENG-022,sa_engineering_sme,ROMH Consulting Engineers,ZA,South Africa,Consulting engineering,Professional consulting engineers,SME,ESTIMATED_UNVERIFIED,https://www.romh.co.za/,,"100% black-owned professional consulting engineers",S-SEARCH-CONSULTING,C,NOT_AUDITED
SA-ENG-023,sa_medium_engineering,MBSA Consulting,ZA,South Africa,Consulting engineering,Civil structural electrical,MEDIUM,ESTIMATED_UNVERIFIED,http://www.mbsaconsultants.com/,,"Multi-disciplinary consulting engineering firm wholly black owned and managed since 1999 in civil structural and electrical",S-SEARCH-CONSULTING,C,NOT_AUDITED
SA-ENG-024,sa_medium_engineering,LTE Consulting,ZA,South Africa,Consulting engineering,Consultancy and advisory,MEDIUM,ESTIMATED_UNVERIFIED,https://lteconsulting.com/,,"Fully black-owned consultancy and advisory services company",S-SEARCH-CONSULTING,C,NOT_AUDITED
SA-ENG-025,sa_medium_engineering,GIBB,ZA,South Africa,Consulting engineering,Multi-disciplinary,LARGE,ESTIMATED_UNVERIFIED,https://www.gibb.co.za/,,"Leading SA multi-disciplinary engineering consulting company with African footprint; 67% black ownership",S-SEARCH-CONSULTING,C,NOT_AUDITED
SA-CON-001,sa_contractors,Trencon Construction,ZA,South Africa,Construction,Building and civil engineering,MEDIUM-LARGE,ESTIMATED_UNVERIFIED,,,"100% black-owned; CIDB 9GB and 9CE; 20+ years; over 600 staff",S-SEARCH-CONSTRUCTION,C,NOT_AUDITED
SA-CON-002,sa_contractors,Temi Construction,ZA,South Africa,Construction,Civil engineering and construction,MEDIUM,ESTIMATED_UNVERIFIED,https://temi.co.za/,,"Established 2010; 50% woman-owned and 100% black-owned; CIDB 9 GBPE and 8 CEPE",S-SEARCH-CONSTRUCTION,C,NOT_AUDITED
SA-CON-003,sa_contractors,Ruwacon,ZA,South Africa,Construction,Building contractor,MEDIUM-LARGE,ESTIMATED_UNVERIFIED,,,"51% black ownership; 9GBPE CIDB rating",S-SEARCH-CONSTRUCTION,C,NOT_AUDITED
SA-CON-004,sa_contractors,WCB Construction,ZA,Western Cape,Construction,Civil and building,SME-MEDIUM,ESTIMATED_UNVERIFIED,,,"Largest 100% black youth-owned firm in the Western Cape; CIDB 8CE and 8GB",S-SEARCH-CONSTRUCTION,C,NOT_AUDITED
SA-CON-005,sa_contractors,Spec Africa,ZA,Rustenburg North West,Construction,Construction civil electrical security fencing,SME,ESTIMATED_UNVERIFIED,,,"Multidisciplinary construction contracting company in construction civil electrical security and fencing",S-SEARCH-ELECTRICAL,C,NOT_AUDITED
SA-CON-006,sa_contractors,Bakgaditse Group (Pty) Ltd,ZA,Tlhabane West Rustenburg,Electrical contracting,Installations maintenance inspections compliance,SME,ESTIMATED_UNVERIFIED,,,"Specialises in electrical engineering installations maintenance inspections and compliance services",S-SEARCH-ELECTRICAL,C,NOT_AUDITED
SA-CON-007,sa_contractors,JS Electrical,ZA,Rustenburg North West,Electrical contracting,Electrical contracting,SME,ESTIMATED_UNVERIFIED,,,"Established 1992 in Rustenburg",S-SEARCH-ELECTRICAL,C,NOT_AUDITED
SA-CON-008,sa_contractors,Platchro Mining Services cc,ZA,Rustenburg North West,Mining services,Mining contracting,SME,ESTIMATED_UNVERIFIED,,,"Founded 2004 to provide a one-stop mining contracting service",S-SEARCH-ELECTRICAL,C,NOT_AUDITED
SA-CON-009,sa_contractors,MMES,ZA,North West,Electrical contracting,Electrical services,SME,ESTIMATED_UNVERIFIED,,,"100% black owned company based in North West Province Rustenburg; combined 44 years experience",S-SEARCH-ELECTRICAL,C,NOT_AUDITED
SA-CON-010,sa_contractors,Psitron Electrical,ZA,Richards Bay KwaZulu-Natal,Electrical contracting,Electrical contracting,SME,ESTIMATED_UNVERIFIED,,,"22 year old electrical business in Richards Bay",S-SEARCH-ELECTRICAL,C,NOT_AUDITED
SA-CON-011,sa_contractors,Mangena Engineering Contractors,ZA,Richards Bay KwaZulu-Natal,Electrical contracting,Electrical and catering,SME,ESTIMATED_UNVERIFIED,,,"Recognised name in the electrical and catering industry for over 5 years",S-SEARCH-ELECTRICAL,C,NOT_AUDITED
SA-CON-012,sa_contractors,Alsandro,ZA,South Africa,Industrial services,Electrical mechanical pipelines earthworks waste,SME-MEDIUM,ESTIMATED_UNVERIFIED,,,"Electrical and mechanical services pipeline installation aggregates dry ice blasting waste management road infrastructure and bulk earthworks",S-SEARCH-ELECTRICAL,C,NOT_AUDITED
SA-CON-013,sa_contractors,Greenline Projects (Pty) Ltd,ZA,South Africa,Construction & energy,Energy alternatives sustainable building project management,SME,ESTIMATED_UNVERIFIED,,,"Energy alternatives sustainable building solutions project management and construction across Southern Africa",S-SEARCH-ELECTRICAL,C,NOT_AUDITED
SA-CON-014,sa_contractors,Z1 Construction,ZA,South Africa,Construction,Construction,SME,ESTIMATED_UNVERIFIED,https://www.z1construction.co.za/,,"SA construction company appearing in DRC/SA construction directory results",S-SEARCH-DRC-CONSTRUCTION,C,NOT_AUDITED
SA-CON-015,sa_medium_engineering,The Vision Plant (Pty) Ltd,ZA,Witbank Mpumalanga,Industrial,Industrial/mining supply,MEDIUM,ESTIMATED_UNVERIFIED,,,"Listed with sales revenue of USD 37.38m in a third-party business directory",S-SEARCH-MINING-EQUIP,D,NOT_AUDITED
CD-ENG-001,drc_companies,Mining Engineering Services (MES Holdings),CD,Lubumbashi & Kolwezi,Mining EPCM,Design engineering procurement erection commissioning power,MEDIUM,ESTIMATED_UNVERIFIED,https://mes-holdings.com/,https://cd.linkedin.com/company/mining-engineering-services,"Part of Vinmart Group; EPCM solutions for DRC mining since 2010; facilities in Kolwezi Lualaba and Lubumbashi",S-SEARCH-DRC,C,NOT_AUDITED
CD-ENG-002,drc_companies,Entreprise Generale Malta Forrest (EGMF),CD,Lubumbashi (offices Kolwezi Kalemie Goma Kinshasa),Construction & civil engineering,Civils roads prefabricated concrete,LARGE,ESTIMATED_UNVERIFIED,https://forrestgroup.com/en/business/entreprise-generale-malta-forrest/,,"Part of Forrest Group; civil engineering construction road-building and prefabrication of concrete products",S-SEARCH-DRC-CONSTRUCTION,C,NOT_AUDITED
CD-ENG-003,drc_companies,METALCO,CD,Lubumbashi,Steel construction,Steel design manufacture assembly and project management,MEDIUM,ESTIMATED_UNVERIFIED,https://metalcordc.com/,,"Established 1991 in Lubumbashi; designs manufactures and assembles steel constructions; civil engineering steel supply design construction and project management",S-SEARCH-DRC-CONSTRUCTION,C,NOT_AUDITED
CD-ENG-004,drc_companies,Edile Construction,CD,Lubumbashi,Construction,Buildings commercial industrial institutional,SME-MEDIUM,ESTIMATED_UNVERIFIED,,,"Private building company in Lubumbashi; residences commercial and industrial buildings schools churches public utility buildings",S-SEARCH-DRC-CONSTRUCTION,C,NOT_AUDITED
CD-ENG-005,drc_companies,Maisons Super Development,CD,Lubumbashi,Construction,Civil engineering construction,SME,ESTIMATED_UNVERIFIED,,,"Civil engineering construction and construction company in Lubumbashi",S-SEARCH-DRC-CONSTRUCTION,D,NOT_AUDITED
CD-ENG-006,drc_companies,Sisimizi,CD,Lubumbashi,Construction & design,Civil engineering architecture engineering and design,SME,ESTIMATED_UNVERIFIED,,,"Civil engineering construction architecture engineering and design in Lubumbashi",S-SEARCH-DRC-CONSTRUCTION,D,NOT_AUDITED
CD-ENG-007,drc_companies,VSi Afrique,CD,Kinshasa,Construction,Civil engineering construction,SME-MEDIUM,ESTIMATED_UNVERIFIED,,,"Civil engineering construction and construction company in Kinshasa",S-SEARCH-DRC-CONSTRUCTION,D,NOT_AUDITED
CD-ENG-008,drc_companies,Adi-Construct,CD,DRC,Construction,Civil engineering construction,SME,ESTIMATED_UNVERIFIED,,,"Civil engineering construction and construction company in DRC",S-SEARCH-DRC-CONSTRUCTION,D,NOT_AUDITED
CD-ENG-009,drc_companies,Benco,CD,DRC,Construction,Civil engineering construction,SME,ESTIMATED_UNVERIFIED,,,"Civil engineering construction and construction company in DRC",S-SEARCH-DRC-CONSTRUCTION,D,NOT_AUDITED
